genome_index,genome_id,genus,species,full_name
0,GCF_000006985.1_Chlorobaculum_tepidum_TLS_6mer,Chlorobaculum,tepidum,Chlorobaculum_tepidum
1,GCF_000007085.1_Caldanaerobacter_subterraneus_subsp__tengcongensis_6mer,Caldanaerobacter,subterraneus,Caldanaerobacter_subterraneus
2,GCF_000007485.1_Tropheryma_whipplei_str__Twist_6mer,Tropheryma,whipplei,Tropheryma_whipplei
3,GCF_000007605.1_Chlamydia_caviae_GPIC_6mer,Chlamydia,caviae,Chlamydia_caviae
4,GCF_000007745.1__Mannheimia__succiniciproducens_MBEL55E_6mer,,Mannheimia,_Mannheimia
5,GCF_000007905.1_Helicobacter_hepaticus_ATCC_51449_6mer,Helicobacter,hepaticus,Helicobacter_hepaticus
6,GCF_000008365.1_Mycoplasma_mobile_163K_6mer,Mycoplasma,mobile,Mycoplasma_mobile
7,GCF_000008505.1__Bacillus_thuringiensis__serovar_konkukian_str__97_6mer,,Bacillus,_Bacillus
8,GCF_000008625.1_Aquifex_aeolicus_VF5_6mer,Aquifex,aeolicus,Aquifex_aeolicus
9,GCF_000008765.1_Clostridium_acetobutylicum_ATCC_824_6mer,Clostridium,acetobutylicum,Clostridium_acetobutylicum
10,GCF_000009125.1_Ralstonia_pseudosolanacearum_GMI1000_6mer,Ralstonia,pseudosolanacearum,Ralstonia_pseudosolanacearum
11,GCF_000009165.1_Xanthomonas_euvesicatoria_pv__vesicatoria_str__85-_6mer,Xanthomonas,euvesicatoria,Xanthomonas_euvesicatoria
12,GCF_000009265.1_Rhizobium_johnstonii_3841_6mer,Rhizobium,johnstonii,Rhizobium_johnstonii
13,GCF_000009305.1_Helicobacter_acinonychis_str__Sheeba_6mer,Helicobacter,acinonychis,Helicobacter_acinonychis
14,GCF_000009365.1_Alcanivorax_borkumensis_SK2_6mer,Alcanivorax,borkumensis,Alcanivorax_borkumensis
15,GCF_000009625.1_Mesorhizobium_japonicum_MAFF_303099_6mer,Mesorhizobium,japonicum,Mesorhizobium_japonicum
16,GCF_000009765.2_Streptomyces_avermitilis_MA-4680___NBRC_14893_6mer,Streptomyces,avermitilis,Streptomyces_avermitilis
17,GCF_000009825.1_Shouchella_clausii_KSM-K16_6mer,Shouchella,clausii,Shouchella_clausii
18,GCF_000009905.1_Symbiobacterium_thermophilum_IAM_14863_6mer,Symbiobacterium,thermophilum,Symbiobacterium_thermophilum
19,GCF_000009945.1_Chlamydia_felis_Fe_C-56_6mer,Chlamydia,felis,Chlamydia_felis
20,GCF_000009985.1_Paramagnetospirillum_magneticum_AMB-1_6mer,Paramagnetospirillum,magneticum,Paramagnetospirillum_magneticum
21,GCF_000010045.1_Desulfitobacterium_hafniense_Y51_6mer,Desulfitobacterium,hafniense,Desulfitobacterium_hafniense
22,GCF_000010085.1_Sodalis_glossinidius_str___morsitans__6mer,Sodalis,glossinidius,Sodalis_glossinidius
23,GCF_000010305.1_Gemmatimonas_aurantiaca_T-27_6mer,Gemmatimonas,aurantiaca,Gemmatimonas_aurantiaca
24,GCF_000010325.1_Nitratiruptor_sp__SB155-2_6mer,Nitratiruptor,sp,Nitratiruptor_sp
25,GCF_000010345.1_Sulfurovum_sp__NBC37-1_6mer,Sulfurovum,sp,Sulfurovum_sp
26,GCF_000010405.1_Candidatus_Vesicomyidisocius_calyptogenae_6mer,Candidatus,Vesicomyidisocius,Candidatus_Vesicomyidisocius
27,GCF_000010525.1_Azorhizobium_caulinodans_ORS_571_6mer,Azorhizobium,caulinodans,Azorhizobium_caulinodans
28,GCF_000010645.1_Candidatus_Azobacteroides_pseudotrichonymphae_geno_6mer,Candidatus,Azobacteroides,Candidatus_Azobacteroides
29,GCF_000010665.1_Solidesulfovibrio_magneticus_RS-1_6mer,Solidesulfovibrio,magneticus,Solidesulfovibrio_magneticus
30,GCF_000010725.1_Azospirillum_sp__B510_6mer,Azospirillum,sp,Azospirillum_sp
31,GCF_000010985.1_Deferribacter_desulfuricans_SSM1_6mer,Deferribacter,desulfuricans,Deferribacter_desulfuricans
32,GCF_000011225.1_Malacoplasma_penetrans_HF-2_6mer,Malacoplasma,penetrans,Malacoplasma_penetrans
33,GCF_000011245.1_Oceanobacillus_iheyensis_HTE831_6mer,Oceanobacillus,iheyensis,Oceanobacillus_iheyensis
34,GCF_000011305.1_Corynebacterium_efficiens_YS-314_6mer,Corynebacterium,efficiens,Corynebacterium_efficiens
35,GCF_000011345.1_Thermosynechococcus_vestitus_BP-1_6mer,Thermosynechococcus,vestitus,Thermosynechococcus_vestitus
36,GCF_000011365.1_Bradyrhizobium_diazoefficiens_USDA_110_6mer,Bradyrhizobium,diazoefficiens,Bradyrhizobium_diazoefficiens
