genome_id,genus,species,full_name
GCF_000006985.1_Chlorobaculum_tepidum_TLS_6mer,Chlorobaculum,tepidum,Chlorobaculum_tepidum
GCF_000007085.1_Caldanaerobacter_subterraneus_subsp__tengcongensis_6mer,Caldanaerobacter,subterraneus,Caldanaerobacter_subterraneus
GCF_000007485.1_Tropheryma_whipplei_str__Twist_6mer,Tropheryma,whipplei,Tropheryma_whipplei
GCF_000007605.1_Chlamydia_caviae_GPIC_6mer,Chlamydia,caviae,Chlamydia_caviae
GCF_000007745.1__Mannheimia__succiniciproducens_MBEL55E_6mer,,Mannheimia,_Mannheimia
GCF_000007905.1_Helicobacter_hepaticus_ATCC_51449_6mer,Helicobacter,hepaticus,Helicobacter_hepaticus
GCF_000008365.1_Mycoplasma_mobile_163K_6mer,Mycoplasma,mobile,Mycoplasma_mobile
GCF_000008505.1__Bacillus_thuringiensis__serovar_konkukian_str__97_6mer,,Bacillus,_Bacillus
GCF_000008625.1_Aquifex_aeolicus_VF5_6mer,Aquifex,aeolicus,Aquifex_aeolicus
GCF_000008765.1_Clostridium_acetobutylicum_ATCC_824_6mer,Clostridium,acetobutylicum,Clostridium_acetobutylicum
GCF_000009125.1_Ralstonia_pseudosolanacearum_GMI1000_6mer,Ralstonia,pseudosolanacearum,Ralstonia_pseudosolanacearum
GCF_000009165.1_Xanthomonas_euvesicatoria_pv__vesicatoria_str__85-_6mer,Xanthomonas,euvesicatoria,Xanthomonas_euvesicatoria
GCF_000009265.1_Rhizobium_johnstonii_3841_6mer,Rhizobium,johnstonii,Rhizobium_johnstonii
GCF_000009305.1_Helicobacter_acinonychis_str__Sheeba_6mer,Helicobacter,acinonychis,Helicobacter_acinonychis
GCF_000009365.1_Alcanivorax_borkumensis_SK2_6mer,Alcanivorax,borkumensis,Alcanivorax_borkumensis
GCF_000009625.1_Mesorhizobium_japonicum_MAFF_303099_6mer,Mesorhizobium,japonicum,Mesorhizobium_japonicum
GCF_000009765.2_Streptomyces_avermitilis_MA-4680___NBRC_14893_6mer,Streptomyces,avermitilis,Streptomyces_avermitilis
GCF_000009825.1_Shouchella_clausii_KSM-K16_6mer,Shouchella,clausii,Shouchella_clausii
GCF_000009905.1_Symbiobacterium_thermophilum_IAM_14863_6mer,Symbiobacterium,thermophilum,Symbiobacterium_thermophilum
GCF_000009945.1_Chlamydia_felis_Fe_C-56_6mer,Chlamydia,felis,Chlamydia_felis
GCF_000009985.1_Paramagnetospirillum_magneticum_AMB-1_6mer,Paramagnetospirillum,magneticum,Paramagnetospirillum_magneticum
GCF_000010045.1_Desulfitobacterium_hafniense_Y51_6mer,Desulfitobacterium,hafniense,Desulfitobacterium_hafniense
GCF_000010085.1_Sodalis_glossinidius_str___morsitans__6mer,Sodalis,glossinidius,Sodalis_glossinidius
GCF_000010305.1_Gemmatimonas_aurantiaca_T-27_6mer,Gemmatimonas,aurantiaca,Gemmatimonas_aurantiaca
