cluster_id,genome_id,cluster_size
GCF_000006985.1_NC_002932.3_1061,GCF_000006985.1,11
GCF_000006985.1_NC_002932.3_1091,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_1196,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_1248,GCF_000006985.1,10
GCF_000006985.1_NC_002932.3_131,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_1345,GCF_000006985.1,11
GCF_000006985.1_NC_002932.3_137,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_1547,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_1570,GCF_000006985.1,13
GCF_000006985.1_NC_002932.3_170,GCF_000006985.1,10
GCF_000006985.1_NC_002932.3_1728,GCF_000006985.1,21
GCF_000006985.1_NC_002932.3_1730,GCF_000006985.1,23
GCF_000006985.1_NC_002932.3_1740,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_1799,GCF_000006985.1,11
GCF_000006985.1_NC_002932.3_1806,GCF_000006985.1,23
GCF_000006985.1_NC_002932.3_1861,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_1910,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_1945,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_39,GCF_000006985.1,11
GCF_000006985.1_NC_002932.3_455,GCF_000006985.1,27
GCF_000006985.1_NC_002932.3_472,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_5,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_53,GCF_000006985.1,11
GCF_000006985.1_NC_002932.3_547,GCF_000006985.1,11
GCF_000006985.1_NC_002932.3_589,GCF_000006985.1,10
GCF_000006985.1_NC_002932.3_63,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_769,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_859,GCF_000006985.1,12
GCF_000006985.1_NC_002932.3_997,GCF_000006985.1,10
GCF_000006985.1_NC_002932.3_998,GCF_000006985.1,10
GCF_000007085.1_NC_003869.1_1027,GCF_000007085.1,23
GCF_000007085.1_NC_003869.1_1069,GCF_000007085.1,12
GCF_000007085.1_NC_003869.1_111,GCF_000007085.1,12
GCF_000007085.1_NC_003869.1_1205,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_1221,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_1229,GCF_000007085.1,34
GCF_000007085.1_NC_003869.1_1242,GCF_000007085.1,10
GCF_000007085.1_NC_003869.1_1319,GCF_000007085.1,10
GCF_000007085.1_NC_003869.1_1334,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_1343,GCF_000007085.1,13
GCF_000007085.1_NC_003869.1_1377,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_1436,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_1454,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_1456,GCF_000007085.1,10
GCF_000007085.1_NC_003869.1_149,GCF_000007085.1,11
GCF_000007085.1_NC_003869.1_1515,GCF_000007085.1,23
GCF_000007085.1_NC_003869.1_1545,GCF_000007085.1,12
GCF_000007085.1_NC_003869.1_1579,GCF_000007085.1,15
GCF_000007085.1_NC_003869.1_1596,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_1613,GCF_000007085.1,10
GCF_000007085.1_NC_003869.1_1640,GCF_000007085.1,139
GCF_000007085.1_NC_003869.1_1650,GCF_000007085.1,13
GCF_000007085.1_NC_003869.1_1680,GCF_000007085.1,11
GCF_000007085.1_NC_003869.1_1707,GCF_000007085.1,58
GCF_000007085.1_NC_003869.1_1878,GCF_000007085.1,17
GCF_000007085.1_NC_003869.1_207,GCF_000007085.1,15
GCF_000007085.1_NC_003869.1_2119,GCF_000007085.1,14
